block,phase,fair,price_on,price_off,kappa,trend,d,lp_on,lp_off,cum_lvr_on,cum_lvr_off,cum_noise_on,lp_vf,cum_lvr_vf,cum_noise_vf
80,0,3908749999999999803392,3910847919696482100083,3910847919696482100083,0,2,370523420308182236,8626282820902264958324568,8626282820902264958324568,7327766253251414459805,7327766253251414459805,0,8626889994781643093711505,6880781421013549792849,180662249860675696341
81,0,3948729999999999934464,3943660750238703828307,3943660750238703828307,0,2,423576176261565825,8670288311984629988947633,8670288311984629988947633,7428478019812244687095,7428478019812244687095,0,8670911392487776909501934,6970172036525015782116,182177019072611245605
82,0,4027200000000000000000,4005683205473962253256,4005683205473962253256,0,2,233076014723438598,8756043029744376486119578,8756043029744376486119578,7909409062497987595057,7909409062497987595057,0,8756702819393834387286715,7426956387190629363360,188451288442904389835
83,0,4035000000000000262144,4033702363576595760056,4033702363576595760056,0,2,47105665635427249,8764487080644746400473525,8764487080644746400473525,7967666033047707603204,7967666033047707603204,0,8765157212233410639733736,7475941486357181169986,188864968661717743255
84,0,4021810000000000196608,4028656117226070047395,4028656117226070047395,0,2,148752595214901223,8750153302041898762610056,8750153302041898762610056,7977201374255276214662,7977201374255276214662,0,8750827997796492027481647,7481874011307552162224,190936196278217309199
85,0,4010649999999999934464,4030275922824083449808,4030275922824083449808,0,2,123433374545329455,8738027467282219479196663,8738027467282219479196663,7999118659760653610843,7999118659760653610843,0,8738711104533180089280990,7499065555572134882472,196085939942960995768
86,0,4004840000000000262144,4014583586720613177597,4014583586720613177597,0,2,130672189638834182,8731676468668795459736448,8731676468668795459736448,8042868985130412085241,8042868985130412085241,0,8732367537191404786084235,7537091063492420149489,198287871655262330561
87,0,4021260000000000131072,4019486252372686571375,4019486252372686571375,0,2,33250936034258188,8749552019967156964816867,8749552019967156964816867,8045888794380057861726,8045888794380057861726,0,8750246273186152561653454,7538708036604539435836,198660243429506043725
88,0,4004920000000000262144,3989660608766208120993,3989660608766208120993,0,2,62966251848432983,8731773140276751876896503,8731773140276751876896503,8060274877838159364553,8060274877838159364553,0,8732471463468291614397649,7550415594996725891332,201464295767876456149
89,0,4021190000000000065536,4019488913982705747988,4019488913982705747988,0,2,129199206822444095,8749475848732067540213808,8749475848732067540213808,8128043863042371143822,8128043863042371143822,0,8750181956492702062688935,7612133293084225970643,201790243265058820072
90,0,4005289999999999934464,4011802786600209379627,4011802786600209379627,0,2,68858301408579281,8732163454124219314782282,8732163454124219314782282,8141712866118791781980,8141712866118791781980,0,8732872237977598515436432,7623002391846058792679,203073702324026226541
91,0,4016599999999999737856,4020313470488501505826,4020313470488501505826,0,2,15036102631221361,8744481602294185999520582,8744481602294185999520582,8143273941636781334785,8143273941636781334785,0,8745192883829108739271782,7623717524794339684822,203726850331285417067
92,0,3994800000000000000000,4011625338154486343500,4011625338154486343500,0,2,75662960163798677,8720737409346746962945630,8720737409346746962945630,8187455932443872710467,8187455932443872710467,0,8721453508218378295525604,7663833475217806770435,206412445346986979937
93,0,4023559999999999737856,4022561009237011302177,4022561009237011302177,0,2,1617364029428038,8752053713819524458694042,8752053713819524458694042,8197109973321555643097,8197109973321555643097,0,8752774268879154452648991,7671749717704167877061,206558069683348973693
94,0,4041090000000000196608,4056259857793046822579,4056259857793046822579,0,2,93949734849321056,8771113958185183553474900,8771113958185183553474900,8220266093685208479388,8220266093685208479388,0,8771840653404192630645900,7692387046694381454151,208606296215755704642
95,0,4144199999999999737856,4143521364495890630482,4143521364495890630482,0,1,320511237456494448,8882292786493630774816874,8882292786493630774816874,8731042067595107969344,8731042067595107969344,0,8883042273646398147662185,8189804812264315080038,208710731407767571501
