id,block,pool,kind,zeroForOne,amount_in,amount_out
289,11156374,poincare,arb,0,12726786503932261750501,4103534141304564495
290,11156374,control,arb,0,12726786503932261750501,4103534141304564495
291,11156374,poincare,noise,0,6172729912433522292305,1977960742194302130
292,11156374,control,noise,0,6172729912433522292305,1977960742194302130
293,11156375,poincare,arb,1,961023732418955501,3002242368472072913182
294,11156375,control,arb,1,961023732418955501,3002242368472072913182
295,11156375,poincare,noise,0,5160447905519588525645,1650701813213784439
296,11156375,control,noise,0,5160447905519588525645,1650701813213784439
297,11156376,poincare,arb,1,1854148408089446662,5795258232804425944056
298,11156376,control,arb,1,1854148408089446662,5795258232804425944056
299,11156376,poincare,noise,1,2319774354487533558,7219690656827118323552
300,11156376,control,noise,1,2319774354487533558,7219690656827118323552
301,11156377,poincare,arb,0,21407890414250187043559,6846734384945920697
302,11156377,control,arb,0,21407890414250187043559,6846734384945920697
303,11156377,poincare,noise,1,2270128756335478196,7131415862742649742956
304,11156377,control,noise,1,2270128756335478196,7131415862742649742956
305,11156378,poincare,arb,1,324537417439354467,1016792954560188823449
306,11156378,control,arb,1,324537417439354467,1016792954560188823449
307,11156378,poincare,noise,0,2155632533543663694011,687772906856368115
308,11156378,control,noise,0,2155632533543663694011,687772906856368115
309,11156379,poincare,arb,1,3775861214331933166,11797012895171758550917
310,11156379,control,arb,1,3775861214331933166,11797012895171758550917
311,11156379,poincare,noise,1,882168730926716710,2743063893816119316824
312,11156379,control,noise,1,882168730926716710,2743063893816119316824
313,11156380,poincare,arb,0,10283025523049078866512,3298845988845904196
314,11156380,control,arb,0,10283025523049078866512,3298845988845904196
315,11156380,poincare,noise,1,1483403233564776970,4632595492477140254807
316,11156380,control,noise,1,1483403233564776970,4632595492477140254807
317,11156381,poincare,arb,0,679372254429214822425,217824003858852376
318,11156381,control,arb,0,679372254429214822425,217824003858852376
319,11156381,poincare,noise,0,923671209565804359286,295996696522326053
320,11156381,control,noise,0,923671209565804359286,295996696522326053
321,11156382,poincare,arb,1,4540927998014596075,14108855691173396269679
322,11156382,control,arb,1,4540927998014596075,14108855691173396269679
323,11156382,poincare,noise,1,705375977628071194,2179920598144287130102
324,11156382,control,noise,1,705375977628071194,2179920598144287130102
325,11156383,poincare,arb,0,12237939726335755392068,3946852330457112331
326,11156383,control,arb,0,12237939726335755392068,3946852330457112331
327,11156383,poincare,noise,1,2915829150808515572,9050568618907312964179
328,11156383,control,noise,1,2915829150808515572,9050568618907312964179
329,11156384,poincare,arb,0,12138664213720081940346,3906759974721277582
330,11156384,control,arb,0,12138664213720081940346,3906759974721277582
331,11156384,poincare,noise,1,174677602747149590,544812843451499098818
332,11156384,control,noise,1,174677602747149590,544812843451499098818
333,11156385,poincare,arb,0,6341195877229068554032,2029250530254650919
334,11156385,control,arb,0,6341195877229068554032,2029250530254650919
335,11156385,poincare,noise,0,2898081479365477971800,924612912392450378
336,11156385,control,noise,0,2898081479365477971800,924612912392450378
337,11156386,poincare,arb,0,22180463599731815945247,7018864251065402037
338,11156386,control,arb,0,22180463599731815945247,7018864251065402037
339,11156386,poincare,noise,0,8473584747463633067513,2654778866350133138
340,11156386,control,noise,0,8473584747463633067513,2654778866350133138
341,11156387,poincare,arb,0,7180241923971853741129,2238190543599765351
342,11156387,control,arb,0,7180241923971853741129,2238190543599765351
343,11156387,poincare,noise,0,4261604476236195136356,1323500338033560458
344,11156387,control,noise,0,4261604476236195136356,1323500338033560458
345,11156388,poincare,arb,0,47705274624936474421845,14570765492833102101
346,11156388,control,arb,0,47705274624936474421845,14570765492833102101
347,11156388,poincare,noise,1,240014255683066846,797715435472064171649
348,11156388,control,noise,1,240014255683066846,797715435472064171649
349,11156389,poincare,arb,0,13257683505754490458106,3927489646195573052
350,11156389,control,arb,0,13257683505754490458106,3973193820647248120
351,11156389,poincare,noise,1,2082736846384522668,6963212649713591732570
352,11156389,control,noise,1,2082736846384522668,6963549593070181525897
353,11156390,poincare,arb,1,101580695163728924,338829385076063919389
354,11156390,control,arb,1,124379541927889692,414886519676148691433
355,11156390,poincare,noise,1,230184957501901200,767528149159070403322
356,11156390,control,noise,1,230184957501901200,767528144625297271076
357,11156391,poincare,arb,1,6966185351993185457,23052419303702360502643
358,11156391,control,arb,1,6966010860738335775,23051841743110556474622
359,11156391,poincare,noise,0,2910151556298153579419,879162439309025490
360,11156391,control,noise,0,2910151556298153579419,885075211377528686
361,11156392,poincare,arb,0,25969499871587241863845,7825968450666868923
362,11156392,control,arb,0,25958989414536328195913,7822776604410645794
