id,block,scenario,pool,kind,zeroForOne,amount_in,amount_out
251,11156130,0,poincare,noise,0,1153756720070037790091,400222169081905904
252,11156130,0,control,noise,0,1153756720070037790091,400222169081905904
253,11156131,0,poincare,arb,0,2353373744294674556354,815380049734879462
254,11156131,0,control,arb,0,2353373744294674556354,815380049734879462
255,11156131,0,poincare,noise,0,8119615542251592356964,2803245014162074553
256,11156131,0,control,noise,0,8119615542251592356964,2803245014162074553
257,11156132,0,poincare,arb,1,3872249214224176497,11204239675607196904148
258,11156132,0,control,arb,1,3872249214224176497,11204239675607196904148
259,11156132,0,poincare,noise,0,4350406469314060250827,1507024431192078693
260,11156132,0,control,noise,0,4350406469314060250827,1507024431192078693
261,11156133,0,poincare,arb,1,463486742704195181,1339341496559495245635
262,11156133,0,control,arb,1,463486742704195181,1339341496559495245635
263,11156133,0,poincare,noise,1,2777254487970784936,8000004699267323470677
264,11156133,0,control,noise,1,2777254487970784936,8000004699267323470677
265,11156134,0,poincare,arb,0,5626713846171254333620,1954927020079985238
266,11156134,0,control,arb,0,5626713846171254333620,1954927020079985238
267,11156134,0,poincare,noise,0,8053793188700066189646,2785204183578441914
268,11156134,0,control,noise,0,8053793188700066189646,2785204183578441914
269,11156135,0,poincare,arb,1,2409613675314062500,6970289370208530410038
270,11156135,0,control,arb,1,2409613675314062500,6970289370208530410038
271,11156135,0,poincare,noise,1,809129731639723454,2333186405872587633061
272,11156135,0,control,noise,1,809129731639723454,2333186405872587633061
273,11156136,0,poincare,arb,0,3739021323267634713829,1296042409295902418
274,11156136,0,control,arb,0,3739021323267634713829,1296042409295902418
275,11156136,0,poincare,noise,1,2364511994113580310,6814370325566709089547
276,11156136,0,control,noise,1,2364511994113580310,6814370325566709089547
277,11156137,0,poincare,arb,0,9246217576420426953746,3205688195185631156
278,11156137,0,control,arb,0,9246217576420426953746,3205688195185631156
279,11156137,0,poincare,noise,1,1472922583764315852,4255593112732984487645
280,11156137,0,control,noise,1,1472922583764315852,4255593112732984487645
281,11156138,0,poincare,arb,0,6596882089466442992658,2281463677262317745
282,11156138,0,control,arb,0,6596882089466442992658,2281463677262317745
283,11156138,0,poincare,noise,1,2707341297146793294,7825044763538039875080
284,11156138,0,control,noise,1,2707341297146793294,7825044763538039875080
285,11156139,0,poincare,arb,0,8066798627537868871797,2790755481623624046
286,11156139,0,control,arb,0,8066798627537868871797,2790755481623624046
287,11156139,0,poincare,noise,0,6492531987213576074598,2235063244028193669
288,11156139,0,control,noise,0,6492531987213576074598,2235063244028193669
289,11156140,0,poincare,arb,1,778628186548297858,2265043643745568234685
290,11156140,0,control,arb,1,778628186548297858,2265043643745568234685
291,11156140,0,poincare,noise,0,6819206619707721734312,2340553944137978894
292,11156140,0,control,noise,0,6819206619707721734312,2340553944137978894
293,11156141,0,poincare,arb,1,2281550711733176549,6647686727413661235162
294,11156141,0,control,arb,1,2281550711733176549,6647686727413661235162
295,11156141,0,poincare,noise,0,2494437228243809390187,857318093896786105
296,11156141,0,control,noise,0,2494437228243809390187,857318093896786105
297,11156142,0,poincare,arb,1,2017148369948565549,5862365158639986860675
298,11156142,0,control,arb,1,2017148369948565549,5862365158639986860675
299,11156142,0,poincare,noise,1,223994388048881360,649552527247203848657
300,11156142,0,control,noise,1,223994388048881360,649552527247203848657
301,11156143,0,poincare,arb,1,386588706760701612,1120380759854063260566
302,11156143,0,control,arb,1,386588706760701612,1120380759854063260566
303,11156143,0,poincare,noise,0,561364716209313675503,193736282140783319
304,11156143,0,control,noise,0,561364716209313675503,193736282140783319
305,11156144,0,poincare,arb,1,51458043001322806,149124205069203282653
306,11156144,0,control,arb,1,51458043001322806,149124205069203282653
307,11156144,0,poincare,noise,0,5208994087999066576102,1794379804448793868
308,11156144,0,control,noise,0,5208994087999066576102,1794379804448793868
309,11156145,0,poincare,arb,1,3143763099438743556,9114098571737946898887
310,11156145,0,control,arb,1,3143763099438743556,9114098571737946898887
311,11156145,0,poincare,noise,0,4880844780116179835684,1685986023405320695
312,11156145,0,control,noise,0,4880844780116179835684,1685986023405320695
313,11156146,0,poincare,arb,1,176830538811714229,512674930263550284856
314,11156146,0,control,arb,1,176830538811714229,512674930263550284856
315,11156146,0,poincare,noise,0,8836543657899892685311,3039300814951732989
316,11156146,0,control,noise,0,8836543657899892685311,3039300814951732989
317,11156147,0,poincare,arb,1,4310442049696669442,12516653722918295667640
318,11156147,0,control,arb,1,4310442049696669442,12516653722918295667640
319,11156147,0,poincare,noise,0,5170763990667844217924,1785123385956195209
320,11156147,0,control,noise,0,5170763990667844217924,1785123385956195209
321,11156148,0,poincare,arb,1,481081522066947375,1395280460191308108808
322,11156148,0,control,arb,1,481081522066947375,1395280460191308108808
323,11156148,0,poincare,noise,1,743342894885486926,2153323954100769251159
324,11156148,0,control,noise,1,743342894885486926,2153323954100769251159
325,11156149,0,poincare,arb,0,2640705531742700925099,911439883837182267
326,11156149,0,control,arb,0,2640705531742700925099,911439883837182267
327,11156149,0,poincare,noise,1,495619296272295982,1436539525875161334888
328,11156149,0,control,noise,1,495619296272295982,1436539525875161334888
329,11156150,0,poincare,arb,0,2660933426609887945151,917665470315854801
330,11156150,0,control,arb,0,2660933426609887945151,917665470315854801
331,11156150,0,poincare,noise,0,785759753236273359663,270665380779646742
332,11156150,0,control,noise,0,785759753236273359663,270665380779646742
333,11156151,0,poincare,arb,0,1992509923342317776943,685700879640095306
334,11156151,0,control,arb,0,1992509923342317776943,685700879640095306
335,11156151,0,poincare,noise,0,5706960666856520528863,1958879181973220904
336,11156151,0,control,noise,0,5706960666856520528863,1958879181973220904
337,11156152,0,poincare,arb,1,879672551037092731,2565546830468826697393
338,11156152,0,control,arb,1,879672551037092731,2565546830468826697393
339,11156152,0,poincare,noise,0,2931788044771622344988,1005124635562441716
340,11156152,0,control,noise,0,2931788044771622344988,1005124635562441716
341,11156153,0,poincare,arb,1,703991159510562707,2054039390449440491948
342,11156153,0,control,arb,1,703991159510562707,2054039390449440491948
343,11156153,0,poincare,noise,1,2265674572069385778,6591262594868926356989
344,11156153,0,control,noise,1,2265674572069385778,6591262594868926356989
345,11156154,0,poincare,arb,0,6674753733932668015731,2294308971628537867
